"timestamp","platform","order_level","order_type","price","volume"
"2025-08-07 14:02:05.733","Binance",1,"Bid",116424.72,8.95446
"2025-08-07 14:02:04.359","Binance",10,"Ask",116366.48,0.00009
"2025-08-07 14:02:04.359","Binance",9,"Ask",116366.35,0.13425
"2025-08-07 14:02:04.359","Binance",8,"Ask",116366.34,0.7369
"2025-08-07 14:02:04.359","Binance",7,"Ask",116366.33,1.91779
"2025-08-07 14:02:04.359","Binance",6,"Ask",116366.27,0.00859
"2025-08-07 14:02:04.359","Binance",5,"Ask",116366,0.03695
"2025-08-07 14:02:04.359","Binance",4,"Ask",116365.07,0.01718
"2025-08-07 14:02:04.359","Binance",3,"Ask",116364.91,0.04296
"2025-08-07 14:02:04.359","Binance",2,"Ask",116364.5,0.08506
"2025-08-07 14:02:04.359","Binance",1,"Ask",116364.44,13.6515
"2025-08-07 14:02:04.359","Binance",10,"Bid",116423.43,0.00015
"2025-08-07 14:02:04.359","Binance",9,"Bid",116423.44,0.00007
"2025-08-07 14:02:04.359","Binance",8,"Bid",116423.72,0.00005
"2025-08-07 14:02:04.359","Binance",7,"Bid",116423.73,0.00005
"2025-08-07 14:02:04.359","Binance",6,"Bid",116423.84,0.0001
"2025-08-07 14:02:04.359","Binance",5,"Bid",116424,0.0319
"2025-08-07 14:02:04.359","Binance",4,"Bid",116424.01,0.0001
"2025-08-07 14:02:04.359","Binance",3,"Bid",116424.7,0.00005
"2025-08-07 14:02:04.359","Binance",2,"Bid",116424.71,0.32291
"2025-08-07 14:02:04.359","Binance",1,"Bid",116424.72,8.95446
"2025-08-07 14:02:03.357","Binance",10,"Ask",116367.99,0.0001
"2025-08-07 14:02:03.357","Binance",9,"Ask",116367.56,0.00005
"2025-08-07 14:02:03.357","Binance",8,"Ask",116367.51,0.00042
"2025-08-07 14:02:03.357","Binance",7,"Ask",116367.05,0.28371
"2025-08-07 14:02:03.357","Binance",6,"Ask",116367.04,0.00015
"2025-08-07 14:02:03.357","Binance",5,"Ask",116367.03,0.00025
"2025-08-07 14:02:03.357","Binance",4,"Ask",116367.02,0.31989
"2025-08-07 14:02:03.357","Binance",3,"Ask",116366.58,0.0003
"2025-08-07 14:02:03.357","Binance",2,"Ask",116366.57,0.00019
"2025-08-07 14:02:03.357","Binance",1,"Ask",116366.35,7.96286
"2025-08-07 14:02:03.357","Binance",10,"Bid",116423.43,0.00015
"2025-08-07 14:02:03.357","Binance",9,"Bid",116423.44,0.00007
"2025-08-07 14:02:03.357","Binance",8,"Bid",116423.72,0.00005
"2025-08-07 14:02:03.357","Binance",7,"Bid",116423.73,0.00005
"2025-08-07 14:02:03.357","Binance",6,"Bid",116423.84,0.0001
"2025-08-07 14:02:03.357","Binance",5,"Bid",116424,0.0319
"2025-08-07 14:02:03.357","Binance",4,"Bid",116424.01,0.0001
"2025-08-07 14:02:03.357","Binance",3,"Bid",116424.7,0.00005
"2025-08-07 14:02:03.357","Binance",2,"Bid",116424.71,0.32291
"2025-08-07 14:02:03.357","Binance",1,"Bid",116424.72,8.95446
"2025-08-07 14:02:01.157","Binance",10,"Ask",116381.51,0.0002
"2025-08-07 14:02:01.157","Binance",9,"Ask",116381.5,0.0001
"2025-08-07 14:02:01.157","Binance",8,"Ask",116381.49,0.0002
"2025-08-07 14:02:01.157","Binance",7,"Ask",116381.48,0.0001
"2025-08-07 14:02:01.157","Binance",6,"Ask",116381.42,0.0002
"2025-08-07 14:02:01.157","Binance",5,"Ask",116381.41,0.0001
"2025-08-07 14:02:01.157","Binance",4,"Ask",116381.34,0.05873
"2025-08-07 14:02:01.157","Binance",3,"Ask",116381.33,0.29489
"2025-08-07 14:02:01.157","Binance",2,"Ask",116381.32,0.00019
"2025-08-07 14:02:01.157","Binance",1,"Ask",116381.13,9.97086
"2025-08-07 14:02:01.157","Binance",10,"Bid",116423.43,0.00015
"2025-08-07 14:02:01.157","Binance",9,"Bid",116423.44,0.00007
"2025-08-07 14:02:01.157","Binance",8,"Bid",116423.72,0.00005
"2025-08-07 14:02:01.157","Binance",7,"Bid",116423.73,0.00005
"2025-08-07 14:02:01.157","Binance",6,"Bid",116423.84,0.0001
"2025-08-07 14:02:01.157","Binance",5,"Bid",116424,0.0319
"2025-08-07 14:02:01.157","Binance",4,"Bid",116424.01,0.0001
"2025-08-07 14:02:01.157","Binance",3,"Bid",116424.7,0.00005
"2025-08-07 14:02:01.157","Binance",2,"Bid",116424.71,0.32291
"2025-08-07 14:02:01.157","Binance",1,"Bid",116424.72,8.95446
"2025-08-07 14:01:32.557","Binance",10,"Ask",116381.53,0.0002
"2025-08-07 14:01:32.557","Binance",9,"Ask",116381.52,0.0001
"2025-08-07 14:01:32.557","Binance",8,"Ask",116381.51,0.0002
"2025-08-07 14:01:32.557","Binance",7,"Ask",116381.5,0.0001
"2025-08-07 14:01:32.557","Binance",6,"Ask",116381.49,0.0002
"2025-08-07 14:01:32.557","Binance",5,"Ask",116381.48,0.0001
"2025-08-07 14:01:32.557","Binance",4,"Ask",116381.42,0.0002
"2025-08-07 14:01:32.557","Binance",3,"Ask",116381.41,0.0001
"2025-08-07 14:01:32.557","Binance",2,"Ask",116381.34,0.05873
"2025-08-07 14:01:32.557","Binance",1,"Ask",116381.33,0.58534
"2025-08-07 14:01:32.557","Binance",10,"Bid",116423.06,0.92427
"2025-08-07 14:01:32.557","Binance",9,"Bid",116423.07,1.12252
"2025-08-07 14:01:32.557","Binance",8,"Bid",116423.08,0.00015
"2025-08-07 14:01:32.557","Binance",7,"Bid",116423.72,0.00005
"2025-08-07 14:01:32.557","Binance",6,"Bid",116423.73,0.00005
"2025-08-07 14:01:32.557","Binance",5,"Bid",116424,0.03185
"2025-08-07 14:01:32.557","Binance",4,"Bid",116424.01,0.0001
"2025-08-07 14:01:32.557","Binance",3,"Bid",116424.7,0.0001
"2025-08-07 14:01:32.557","Binance",2,"Bid",116424.71,0.01294
"2025-08-07 14:01:32.557","Binance",1,"Bid",116424.72,8.25859
"2025-08-07 14:01:30.493","Binance",10,"Ask",116381.53,0.0002
"2025-08-07 14:01:30.493","Binance",9,"Ask",116381.52,0.0001
"2025-08-07 14:01:30.493","Binance",8,"Ask",116381.51,0.0002
"2025-08-07 14:01:30.493","Binance",7,"Ask",116381.5,0.0001
"2025-08-07 14:01:30.493","Binance",6,"Ask",116381.49,0.0002
"2025-08-07 14:01:30.493","Binance",5,"Ask",116381.48,0.0001
"2025-08-07 14:01:30.493","Binance",4,"Ask",116381.42,0.0002
"2025-08-07 14:01:30.493","Binance",3,"Ask",116381.41,0.0001
"2025-08-07 14:01:30.493","Binance",2,"Ask",116381.34,0.05873
"2025-08-07 14:01:30.493","Binance",1,"Ask",116381.33,0.58534
"2025-08-07 14:01:30.493","Binance",10,"Bid",116417.91,0.0001
"2025-08-07 14:01:30.493","Binance",9,"Bid",116417.92,0.00005
"2025-08-07 14:01:30.493","Binance",8,"Bid",116417.93,0.00005
"2025-08-07 14:01:30.493","Binance",7,"Bid",116417.94,1.21261
"2025-08-07 14:01:30.493","Binance",6,"Bid",116417.95,0.00015
"2025-08-07 14:01:30.493","Binance",5,"Bid",116418,0.03195
"2025-08-07 14:01:30.493","Binance",4,"Bid",116418.01,0.0001
"2025-08-07 14:01:30.493","Binance",3,"Bid",116419.82,0.00005
"2025-08-07 14:01:30.493","Binance",2,"Bid",116419.98,0.01294
"2025-08-07 14:01:30.493","Binance",1,"Bid",116419.99,12.02047
"2025-08-07 14:01:27.057","Binance",10,"Ask",116381.53,0.0002
"2025-08-07 14:01:27.057","Binance",9,"Ask",116381.52,0.0001
"2025-08-07 14:01:27.057","Binance",8,"Ask",116381.51,0.0002
"2025-08-07 14:01:27.057","Binance",7,"Ask",116381.5,0.0001
"2025-08-07 14:01:27.057","Binance",6,"Ask",116381.49,0.0002
"2025-08-07 14:01:27.057","Binance",5,"Ask",116381.48,0.0001
"2025-08-07 14:01:27.057","Binance",4,"Ask",116381.42,0.0002
"2025-08-07 14:01:27.057","Binance",3,"Ask",116381.41,0.0001
"2025-08-07 14:01:27.057","Binance",2,"Ask",116381.34,0.05873
"2025-08-07 14:01:27.057","Binance",1,"Ask",116381.33,0.58534
"2025-08-07 14:01:27.057","Binance",10,"Bid",116398.3,0.00005
"2025-08-07 14:01:27.057","Binance",9,"Bid",116398.31,0.0001
"2025-08-07 14:01:27.057","Binance",8,"Bid",116398.43,0.00005
"2025-08-07 14:01:27.057","Binance",7,"Bid",116398.44,0.00015
"2025-08-07 14:01:27.057","Binance",6,"Bid",116398.48,0.0249
"2025-08-07 14:01:27.057","Binance",5,"Bid",116398.49,0.0001
"2025-08-07 14:01:27.057","Binance",4,"Bid",116399.41,0.00007
"2025-08-07 14:01:27.057","Binance",3,"Bid",116399.97,0.00005
"2025-08-07 14:01:27.057","Binance",2,"Bid",116399.98,0.01284
"2025-08-07 14:01:27.057","Binance",1,"Bid",116399.99,14.857099999999999
"2025-08-07 14:01:12.057","Binance",10,"Ask",116382.66,0.70486
"2025-08-07 14:01:12.057","Binance",9,"Ask",116382.65,0.00015
"2025-08-07 14:01:12.057","Binance",8,"Ask",116382.45,0.0001
"2025-08-07 14:01:12.057","Binance",7,"Ask",116382.44,0.28367
"2025-08-07 14:01:12.057","Binance",6,"Ask",116382.43,0.0001
"2025-08-07 14:01:12.057","Binance",5,"Ask",116382.09,0.04297
"2025-08-07 14:01:12.057","Binance",4,"Ask",116382,0.0319
"2025-08-07 14:01:12.057","Binance",3,"Ask",116381.99,0.0001
"2025-08-07 14:01:12.057","Binance",2,"Ask",116381.34,0.0002
"2025-08-07 14:01:12.057","Binance",1,"Ask",116381.33,8.89416
"2025-08-07 14:01:12.057","Binance",10,"Bid",116397.36,0.0001
"2025-08-07 14:01:12.057","Binance",9,"Bid",116397.39,0.00005
"2025-08-07 14:01:12.057","Binance",8,"Bid",116397.45,0.07297
"2025-08-07 14:01:12.057","Binance",7,"Bid",116397.46,0.0001
"2025-08-07 14:01:12.057","Binance",6,"Bid",116397.52,0.00015
"2025-08-07 14:01:12.057","Binance",5,"Bid",116397.53,0.0001
"2025-08-07 14:01:12.057","Binance",4,"Bid",116397.6,0.02962
